========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor85                                               (32,)   512.00B
Tensor86                                               (64,)   512.00B
Tensor87                                               (64,)   512.00B
Tensor88                                               (64,)   512.00B
Tensor89                                               (64,)   512.00B
Tensor90                                               (64,)   512.00B
Tensor91                                               (64,)   512.00B
Tensor92                                               (64,)   512.00B
Tensor93                                               (64,)   512.00B
Tensor94                                               (64,)   512.00B
Tensor95                                               (64,)   512.00B
Tensor96                                               (64,)   512.00B
Tensor97                                               (64,)   512.00B
Tensor98                                               (64,)   512.00B
Tensor99                                               (64,)   512.00B
Tensor100                                              (64,)   512.00B
Tensor101                                              (64,)   512.00B
Tensor102                                              (64,)   512.00B
Tensor103                                              (64,)   512.00B
Tensor104                                              (64,)   512.00B
Tensor105                                              (64,)   512.00B
Tensor106                                              (64,)   512.00B
Tensor107                                              (64,)   512.00B
Tensor108                                              (64,)   512.00B
Tensor109                                              (64,)   512.00B
Tensor110                                             (128,)   512.00B
Tensor111                                             (128,)   512.00B
Tensor112                                             (128,)   512.00B
Tensor113                                             (128,)   512.00B
Tensor114                                             (128,)   512.00B
Tensor115                                             (128,)   512.00B
Tensor116                                             (128,)   512.00B
Tensor117                                             (128,)   512.00B
Tensor118                                             (128,)   512.00B
Tensor119                                             (128,)   512.00B
Tensor120                                             (128,)   512.00B
Tensor121                                             (128,)   512.00B
Tensor122                                             (128,)   512.00B
Tensor123                                             (128,)   512.00B
Tensor124                                             (128,)   512.00B
Tensor125                                             (128,)   512.00B
Tensor126                                             (128,)   512.00B
Tensor127                                             (128,)   512.00B
Tensor128                                             (128,)   512.00B
Tensor129                                             (128,)   512.00B
Tensor130                                             (128,)   512.00B
Tensor131                                             (128,)   512.00B
Tensor132                                             (128,)   512.00B
Tensor133                                             (128,)   512.00B
Tensor134                                             (128,)   512.00B
Tensor135                                             (128,)   512.00B
Tensor136                                             (128,)   512.00B
Tensor137                                             (128,)   512.00B
Tensor138                                             (128,)   512.00B
Tensor139                                             (128,)   512.00B
Tensor140                                             (128,)   512.00B
