========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
backbone.body.level1.0.weight                 (32, 16, 3, 3)    18.00K
backbone.body.level1.0.weight.grad            (32, 16, 3, 3)    18.00K
backbone.body.level2.tree1.conv1.weight       (64, 32, 3, 3)    72.00K
backbone.body.level2.tree1.conv1.weight.grad      (64, 32, 3, 3)    72.00K
backbone.body.level2.tree1.conv2.weight       (64, 64, 3, 3)   144.00K
backbone.body.level2.tree1.conv2.weight.grad      (64, 64, 3, 3)   144.00K
backbone.body.level2.tree2.conv1.weight       (64, 64, 3, 3)   144.00K
backbone.body.level2.tree2.conv1.weight.grad      (64, 64, 3, 3)   144.00K
backbone.body.level2.tree2.conv2.weight       (64, 64, 3, 3)   144.00K
backbone.body.level2.tree2.conv2.weight.grad      (64, 64, 3, 3)   144.00K
backbone.body.level2.root.conv.weight        (64, 128, 1, 1)    32.00K
backbone.body.level2.root.conv.weight.grad     (64, 128, 1, 1)    32.00K
backbone.body.level2.project.0.weight         (64, 32, 1, 1)     8.00K
backbone.body.level2.project.0.weight.grad      (64, 32, 1, 1)     8.00K
backbone.body.level3.project.0.weight        (128, 64, 1, 1)    32.00K
backbone.body.level4.project.0.weight       (256, 128, 1, 1)   128.00K
backbone.body.level5.tree1.conv1.weight     (512, 256, 3, 3)     4.50M
backbone.body.level5.tree1.conv1.weight.grad    (512, 256, 3, 3)     4.50M
backbone.body.level5.tree1.conv2.weight     (512, 512, 3, 3)     9.00M
backbone.body.level5.tree1.conv2.weight.grad    (512, 512, 3, 3)     9.00M
backbone.body.level5.tree2.conv1.weight     (512, 512, 3, 3)     9.00M
backbone.body.level5.tree2.conv1.weight.grad    (512, 512, 3, 3)     9.00M
backbone.body.level5.tree2.conv2.weight     (512, 512, 3, 3)     9.00M
backbone.body.level5.tree2.conv2.weight.grad    (512, 512, 3, 3)     9.00M
backbone.body.level5.root.conv.weight      (512, 1280, 1, 1)     2.50M
backbone.body.level5.root.conv.weight.grad   (512, 1280, 1, 1)     2.50M
backbone.body.level5.project.0.weight       (512, 256, 1, 1)   512.00K
backbone.body.level5.project.0.weight.grad    (512, 256, 1, 1)   512.00K
backbone.body.level3.tree1.tree1.conv1.weight     (128, 64, 3, 3)   288.00K
backbone.body.level3.tree1.tree1.conv1.weight.grad     (128, 64, 3, 3)   288.00K
backbone.body.level3.tree1.tree1.conv2.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.tree1.conv2.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.tree2.conv1.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.tree2.conv1.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.tree2.conv2.weight    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.tree2.conv2.weight.grad    (128, 128, 3, 3)   576.00K
backbone.body.level3.tree1.root.conv.weight    (128, 256, 1, 1)   128.00K
